epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.632,1.60555,2.3876,0.89675,0.14244,0.85452,0.74669,0.47563,1.1157,2.54623,0.82215,0.00051677,0.00051677,0.00051677
2,248.122,1.15094,0.75557,0.82979,0.95103,0.94037,0.97761,0.67415,1.13257,0.73017,0.83014,0.00103981,0.00103981,0.00103981
3,369.359,1.02811,0.63366,0.82314,0.94268,0.94103,0.97216,0.70345,0.97482,0.6628,0.815,0.00155229,0.00155229,0.00155229
4,492.423,1.03706,0.58936,0.81618,0.95884,0.95981,0.98032,0.75194,0.77973,0.58616,0.79088,0.00161749,0.00161749,0.00161749
5,614.832,1.01809,0.57681,0.81886,0.96986,0.9657,0.98416,0.75665,0.85107,0.55563,0.79707,0.00160099,0.00160099,0.00160099
6,735.201,0.94797,0.54812,0.81451,0.97555,0.97144,0.98826,0.75335,0.88383,0.52076,0.79864,0.00158448,0.00158448,0.00158448
7,854.729,0.89011,0.5173,0.80674,0.97351,0.96912,0.98728,0.78186,0.74565,0.49506,0.78627,0.00156798,0.00156798,0.00156798
8,971.145,0.89371,0.50064,0.80493,0.97672,0.97145,0.99006,0.77354,0.80087,0.49103,0.78685,0.00155148,0.00155148,0.00155148
9,1085.16,0.86328,0.49365,0.8002,0.97999,0.97273,0.99123,0.77778,0.76685,0.4621,0.79106,0.00153497,0.00153497,0.00153497
10,1198.41,0.86554,0.47737,0.80319,0.97818,0.97575,0.99075,0.69424,1.09107,0.50689,0.80336,0.00151847,0.00151847,0.00151847
11,1310.56,0.91542,0.49253,0.80493,0.97957,0.97448,0.99094,0.74976,0.86249,0.47468,0.79205,0.00150197,0.00150197,0.00150197
12,1421.32,0.86037,0.47603,0.80502,0.97084,0.97012,0.9906,0.83664,0.58874,0.42749,0.77849,0.00148546,0.00148546,0.00148546
13,1531.31,0.85551,0.47656,0.80361,0.97913,0.97248,0.99116,0.82531,0.62821,0.42432,0.7791,0.00146896,0.00146896,0.00146896
14,1640.69,0.84997,0.46842,0.80246,0.97804,0.97155,0.99153,0.71828,0.85587,0.49288,0.79061,0.00145246,0.00145246,0.00145246
15,1749.51,0.83942,0.46228,0.80199,0.98271,0.97668,0.99236,0.82583,0.61785,0.41332,0.77965,0.00143595,0.00143595,0.00143595
16,1862.97,0.81463,0.4489,0.80046,0.98142,0.9751,0.99228,0.76312,0.82972,0.45441,0.78655,0.00141945,0.00141945,0.00141945
17,1977.98,0.79474,0.43364,0.79697,0.98398,0.97513,0.99293,0.79082,0.7257,0.40864,0.78693,0.00140295,0.00140295,0.00140295
18,2093.99,0.80953,0.43584,0.79772,0.98211,0.97727,0.99283,0.86096,0.5343,0.37442,0.77753,0.00138644,0.00138644,0.00138644
19,2203.07,0.78525,0.4248,0.79795,0.9863,0.97502,0.99344,0.83163,0.65644,0.40601,0.78103,0.00136994,0.00136994,0.00136994
20,2313.62,0.78519,0.42267,0.79782,0.98551,0.9776,0.99344,0.82933,0.64211,0.40715,0.78111,0.00135344,0.00135344,0.00135344
21,2422.04,0.77899,0.42544,0.79318,0.98352,0.97929,0.99341,0.81585,0.67765,0.41111,0.78086,0.00133693,0.00133693,0.00133693
22,2531.41,0.76878,0.42383,0.79512,0.98379,0.97304,0.99311,0.76061,0.86021,0.43267,0.79271,0.00132043,0.00132043,0.00132043
23,2640.84,0.741,0.40618,0.79582,0.98255,0.9767,0.9935,0.84079,0.60285,0.37388,0.78119,0.00130393,0.00130393,0.00130393
24,2749.71,0.76411,0.41344,0.79327,0.9846,0.9767,0.99327,0.86078,0.53962,0.36068,0.7793,0.00128742,0.00128742,0.00128742
25,2858.57,0.7253,0.39583,0.7948,0.98778,0.97609,0.99351,0.81211,0.70845,0.38703,0.78616,0.00127092,0.00127092,0.00127092
26,2967.08,0.73605,0.39575,0.79358,0.9862,0.97885,0.99392,0.84958,0.57424,0.35854,0.77902,0.00125442,0.00125442,0.00125442
27,3077.06,0.70162,0.37928,0.79316,0.98746,0.978,0.99373,0.84902,0.57665,0.35,0.7782,0.00123791,0.00123791,0.00123791
28,3186.22,0.69584,0.37928,0.7938,0.98544,0.97692,0.99352,0.82823,0.66826,0.36466,0.78343,0.00122141,0.00122141,0.00122141
29,3295.3,0.68467,0.37541,0.7904,0.98535,0.97828,0.99375,0.87753,0.49496,0.32615,0.77573,0.00120491,0.00120491,0.00120491
30,3404.42,0.69104,0.37632,0.78979,0.98803,0.97841,0.99392,0.79697,0.73986,0.39678,0.78034,0.0011884,0.0011884,0.0011884
31,3513.49,0.68554,0.3808,0.79229,0.98766,0.97903,0.99408,0.81089,0.73236,0.39838,0.78026,0.0011719,0.0011719,0.0011719
32,3621.58,0.72882,0.38988,0.79525,0.98565,0.97754,0.99372,0.86069,0.57352,0.3516,0.778,0.0011554,0.0011554,0.0011554
33,3731.59,0.72076,0.38082,0.79255,0.98346,0.97207,0.98521,0.8582,0.523,0.34848,0.77996,0.00113889,0.00113889,0.00113889
34,3841.43,0.70635,0.37688,0.79198,0.98813,0.97629,0.9937,0.86314,0.54804,0.34765,0.7788,0.00112239,0.00112239,0.00112239
35,3951.63,0.64236,0.36034,0.7896,0.98523,0.9714,0.98925,0.85756,0.5241,0.34378,0.77957,0.00110589,0.00110589,0.00110589
36,4062.45,0.64484,0.35718,0.78895,0.97629,0.96398,0.99277,0.83003,0.59143,0.3927,0.7754,0.00108938,0.00108938,0.00108938
37,4171.35,0.58713,0.34593,0.78734,0.98765,0.97672,0.99355,0.87753,0.48624,0.32323,0.77418,0.00107288,0.00107288,0.00107288
38,4281.25,0.57241,0.34065,0.78542,0.99091,0.97584,0.99345,0.89021,0.45643,0.31136,0.77363,0.00105638,0.00105638,0.00105638
39,4396.77,0.54842,0.32814,0.78762,0.98972,0.97698,0.99364,0.87999,0.47428,0.31902,0.77416,0.00103987,0.00103987,0.00103987
40,4511.13,0.51511,0.31513,0.78315,0.99114,0.97671,0.9936,0.89119,0.44331,0.30605,0.77155,0.00102337,0.00102337,0.00102337
41,4625.96,0.55721,0.32245,0.78542,0.99106,0.97797,0.99376,0.90425,0.40794,0.29181,0.77172,0.00100687,0.00100687,0.00100687
42,4741.24,0.50593,0.30727,0.78405,0.98916,0.97718,0.99342,0.90613,0.40231,0.28844,0.77188,0.000990365,0.000990365,0.000990365
43,4857.04,0.54173,0.31633,0.78303,0.99038,0.97693,0.99382,0.89608,0.43567,0.299,0.77434,0.000973861,0.000973861,0.000973861
44,4973.31,0.54689,0.31781,0.78387,0.99058,0.9776,0.99383,0.86513,0.5332,0.32659,0.77601,0.000957358,0.000957358,0.000957358
